manufacturer,model name,category,screen size,cpu,ram(GB),gpu,operating system,operating system version,weight(kg),price,resolution,screen_type,touchscreen,cpu_freq(GHz),storage_1_gb,storage_1_type,storage_2_gb,storage_2_type,cpu_brand,gpu_brand
Lenovo,Ideapad 320-15ISK,Notebook,"15.6""",Intel Core i3 6006U ,4.0,Nvidia GeForce 920MX ,Windows,10,2.2,5148468.0,1920x1080,,0.0,2.0,1000.0,HDD,0.0,NaN,Intel,Nvidia
Lenovo,IdeaPad 320-15ABR,Notebook,"15.6""",AMD A12-Series 9720P ,12.0,AMD Radeon 530,Windows,10,2.2,7993908.0,1920x1080,,0.0,3.6,2000.0,HDD,0.0,NaN,AMD,AMD
Acer,Aspire 5,Notebook,"15.6""",Intel Core i7 8550U ,8.0,Nvidia GeForce MX150,Windows,10,2.2,6126588.0,1920x1080,,0.0,1.8,1000.0,HDD,0.0,NaN,Intel,Nvidia
Dell,Inspiron 5577,Gaming,"15.6""",Intel Core i5 7300HQ ,8.0,Nvidia GeForce GTX 1050,Windows,10,2.56,7282548.0,1920x1080,,0.0,2.5,1000.0,HDD,0.0,NaN,Intel,Nvidia
Asus,Rog G752VY-GC229T,Gaming,"17.3""",Intel Core i7 6700HQ ,16.0,Nvidia GeForce GTX 980M,Windows,10,4.3,19117800.0,1920x1080,IPSPanel,0.0,2.6,512.0,SSD,1000.0,HDD,Intel,Nvidia
Asus,ZenBook Pro,Ultrabook,"15.6""",Intel Core i7 7700HQ ,16.0,Nvidia GeForce GTX 1050 Ti,Windows,10,1.8,17632836.0,1920x1080,,0.0,2.8,512.0,SSD,0.0,NaN,Intel,Nvidia
Dell,Inspiron 5570,Notebook,"15.6""",Intel Core i7 8550U ,8.0,AMD Radeon 530,Windows,10,2.02,8633242.8,1920x1080,,0.0,1.8,128.0,SSD,2000.0,HDD,Intel,AMD
Dell,Inspiron 5567,Notebook,"15.6""",Intel Core i5 7200U ,8.0,AMD Radeon R7 M445,Windows,10,2.5,6971328.0,1366x768,,0.0,2.5,1000.0,HDD,0.0,NaN,Intel,AMD
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,"15.6""",Intel Core i3 6006U ,4.0,Intel HD Graphics 520,Windows,10,1.85,3992508.0,1920x1080,,0.0,2.0,1000.0,HDD,0.0,NaN,Intel,Intel
Acer,Aspire 7,Notebook,"15.6""",Intel Core i7 7700HQ ,8.0,Nvidia GeForce GTX 1050,Linux,,2.5,7816068.0,1920x1080,,0.0,2.8,256.0,SSD,0.0,NaN,Intel,Nvidia
Dell,Inspiron 3552,Notebook,"15.6""",Intel Celeron Dual Core N3050 ,2.0,Intel HD Graphics,Windows,10,2.2,3370068.0,1366x768,,0.0,1.6,500.0,HDD,0.0,NaN,Intel,Intel
HP,250 G5,Notebook,"15.6""",Intel Core i7 6500U ,8.0,Intel HD Graphics 520,Windows,10,1.96,6037668.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
HP,EliteBook 840,Notebook,"14.0""",Intel Core i5 6300U ,4.0,Intel HD Graphics 520,Windows,10,1.48,9781111.08,1366x768,,0.0,2.4,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 5567,Notebook,"15.6""",Intel Core i3 6006U ,4.0,AMD Radeon R7 M440,Windows,10,2.3,4437108.0,1366x768,,0.0,2.0,128.0,SSD,0.0,NaN,Intel,AMD
Dell,Alienware 17,Gaming,"17.3""",Intel Core i7 7820HK ,16.0,Nvidia GeForce GTX 1070,Windows,10,4.42,24888708.0,2560x1440,IPSPanel,0.0,2.9,256.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,Thinkpad Yoga,2 in 1 Convertible,"14.0""",Intel Core i7 7500U ,16.0,Intel HD Graphics 620,Windows,10,1.42,25111008.0,2560x1440,,1.0,2.7,1000.0,SSD,0.0,NaN,Intel,Intel
Asus,FX502VM-DM560T (i7-7700HQ/8GB/1TB,Gaming,"15.6""",Intel Core i7 7700HQ ,8.0,Nvidia GeForce GTX1060,Windows,10,2.24,11906388.0,1920x1080,,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,IdeaPad 510s-14IKB,Notebook,"14.0""",Intel Core i7 7500U ,8.0,AMD Radeon R7 M460,No OS,,1.5,7104708.0,1920x1080,IPSPanel,0.0,2.7,512.0,SSD,0.0,NaN,Intel,AMD
HP,Stream 11-Y000na,Netbook,"11.6""",Intel Celeron Dual Core N3060 ,2.0,Intel HD Graphics 400,Windows,10,1.17,1858428.0,1366x768,,0.0,1.6,32.0,FlashStorage,0.0,NaN,Intel,Intel
Lenovo,IdeaPad 310-15IKB,Notebook,"15.6""",Intel Core i5 7200U ,6.0,Nvidia GeForce 920MX,Windows,10,2.4,6179940.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Nvidia
Lenovo,Yoga 500-14ISK,2 in 1 Convertible,"14.0""",Intel Core i7 6500U ,4.0,Intel HD Graphics 520,Windows,10,1.8,5673096.0,1920x1080,IPSPanel,1.0,2.5,128.0,SSD,0.0,NaN,Intel,Intel
HP,ProBook 430,Notebook,"13.3""",Intel Core i3 7100U ,4.0,Intel HD Graphics 620,Windows,10,1.49,6393348.0,1920x1080,,0.0,2.4,128.0,SSD,0.0,NaN,Intel,Intel
Lenovo,Ideapad 520-15IKBR,Notebook,"15.6""",Intel Core i7 8550U ,8.0,Intel UHD Graphics 620,Windows,10,2.17,7993018.8,1920x1080,,0.0,1.8,256.0,SSD,0.0,NaN,Intel,Intel
Dell,XPS 15,Notebook,"15.6""",Intel Core i7 7700HQ ,8.0,Nvidia GeForce GTX 1050,Windows,10,2.0,16263468.0,1920x1080,,0.0,2.8,256.0,SSD,0.0,NaN,Intel,Nvidia
Acer,Swift 3,Ultrabook,"14.0""",Intel Core i7 8550U ,8.0,Intel UHD Graphics 620,Windows,10,1.6,7860528.0,1920x1080,IPSPanel,0.0,1.8,256.0,SSD,0.0,NaN,Intel,Intel
Toshiba,Tecra Z50-D-10E,Notebook,"15.6""",Intel Core i5 7200U ,8.0,Intel HD Graphics 620,Windows,10,2.0,11186136.0,1920x1080,IPSPanel,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
Dell,Inspiron 5378,2 in 1 Convertible,"13.3""",Intel Core i3 7100U ,4.0,Intel HD Graphics 620,Windows,10,1.71,5770908.0,1920x1080,,1.0,2.4,1000.0,HDD,0.0,NaN,Intel,Intel
HP,ProBook 430,Notebook,"13.3""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,1.49,9692280.0,1920x1080,,0.0,2.7,256.0,SSD,0.0,NaN,Intel,Intel
Asus,Q304UA-BHI5T11 (i5-7200U/6GB/1TB/FHD/W10),2 in 1 Convertible,"13.3""",Intel Core i5 7200U ,6.0,Intel HD Graphics 620,Windows,10,1.5,5682076.92,1920x1080,,1.0,2.5,1000.0,HDD,0.0,NaN,Intel,Intel
Lenovo,ThinkPad Yoga,2 in 1 Convertible,"13.3""",Intel Core i7 7500U ,8.0,Intel HD Graphics 620,Windows,10,1.37,17339400.0,1920x1080,IPSPanel,1.0,2.7,256.0,SSD,0.0,NaN,Intel,Intel
HP,17-AK091ND (A9-9420/8GB/1TB/W10),Notebook,"17.0""",AMD A9-Series 9420 ,8.0,AMD Radeon R5,Windows,10,2.6,4631842.8,1600x900,,0.0,3.0,1000.0,HDD,0.0,NaN,AMD,AMD
Mediacom,Smartbook 142,Notebook,"14.0""",Intel Atom Z8350 ,4.0,Intel HD Graphics 400,Windows,10,1.4,2356380.0,1920x1200,IPSPanel,0.0,1.92,32.0,HDD,0.0,NaN,Intel,Intel
Lenovo,ThinkPad X1,2 in 1 Convertible,"14.0""",Intel Core i7 6600U ,16.0,Intel HD Graphics 520,Windows,10,2.8,21696480.0,2560x1440,IPSPanel,1.0,2.6,512.0,SSD,0.0,NaN,Intel,Intel
Lenovo,Ideapad 320-15IKBN,Notebook,"15.6""",Intel Core i5 7200U ,6.0,Intel HD Graphics 620,Windows,10,2.2,5148468.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,NaN,Intel,Intel
